angular_speed,complime,signal
2.0142822,-0.88233179,-2.5836823
2.6857147,-0.66087687,-2.8673451
3.3571472,1.2151759,-2.8415115
3.3571396,0.74004102,-2.7545226
4.7000008,1.3695389,-3.3111312
5.3714294,1.9788232,-3.467787
6.0428543,3.7032433,-3.7411041
6.7142906,5.7150936,-3.3926129
7.3857155,7.0367861,-3.2935171
6.714283,7.7318101,-2.8426912
8.0571442,7.9914083,-2.8266373
7.3857126,9.0381699,-2.4512444
7.3857155,8.7796497,-2.1110744
6.7142859,8.9487658,-1.8721625
6.7142859,8.6789665,-1.7511841
6.7142849,8.049983,-1.7821393
5.3714285,7.4880443,-1.5412811
5.3714294,6.7170835,-1.6719477
5.3714294,5.7568493,-1.6357369
5.3714294,4.9028511,-1.81727
4.0285721,4.9695926,-1.5787238
4.6999969,3.7832294,-1.6353904
4.7000008,3.426332,-1.7494472
4.0285721,2.79948,-1.6140534
4.0285721,2.2502191,-1.6870264
4.0285721,2.076035,-1.8090506
4.0285683,2.4296131,-1.7839203
4.0285721,2.0361824,-1.720874
3.3571472,2.4091105,-1.723348
3.3571396,2.7418225,-1.7120355
4.0285721,2.0930388,-1.7001877
2.6857147,1.8933344,-1.5425956
4.0285721,2.4328825,-1.8901311
2.6857071,2.3573895,-1.5380533
3.3571472,1.5652575,-1.6512506
3.3571472,1.6075047,-1.7577857
3.3571396,1.7120206,-1.7559848
3.3571472,1.4010763,-1.7036344
4.0285645,1.7838359,-1.9212087
3.3571472,1.5338433,-1.7817333
3.3571396,1.7621891,-1.8045906
4.0285721,1.5481051,-1.8360906
3.3571396,1.5754689,-1.7958628
3.3571472,1.7591242,-1.8478316
3.3571472,2.2986009,-1.8045737
3.357132,1.9562964,-1.6715186
3.3571472,1.5192741,-1.7173541
3.3571472,2.1833777,-1.8046504
4.0285645,2.0573535,-1.8560365
3.3571625,1.7940421,-1.7254934
3.357132,1.8449936,-1.7319394
4.0285797,1.3946006,-1.827907
3.357132,1.5925363,-1.7562027
3.357132,0.84778512,-1.7350725
4.0285797,1.0712965,-1.961104
4.0285797,1.2699111,-1.9015949
4.0285645,0.79132515,-1.8950994
3.3571472,0.89105552,-1.7740585
4.0285645,0.89984137,-1.9215959
4.0285645,0.84532237,-1.9746474
4.0285797,0.61022639,-1.937429
4.6999969,0.40987331,-2.0547385
4.0285797,0.060804401,-1.8777001
4.0285797,-0.097405195,-1.8806764
5.3714142,-0.33828408,-2.1742885
4.0285797,-0.72210437,-1.9907353
5.3714294,-0.88158232,-2.3396864
5.3714142,-0.51749903,-2.4324906
4.7000122,0.037704084,-2.1848912
4.6999969,0.11018299,-2.1294761
5.3714294,0.66951162,-2.2434225
5.3714294,0.28469729,-2.1818452
5.3714294,-0.24033046,-2.2628963
5.3714142,-0.31583849,-2.319845
5.3714294,-0.24153374,-2.3865113
5.37146,-0.62418139,-2.4065564
6.7142639,-0.49065444,-2.7905381
5.3714294,-0.31230295,-2.4068813
6.0428467,-0.088310614,-2.5323393
6.0428772,0.53169471,-2.5291405
6.7142944,1.0006354,-2.5039113
6.0428467,1.4211391,-2.2367921
6.0428467,1.9378058,-2.2211459
6.0428467,2.1300061,-2.0928578
6.0428772,2.8863335,-2.1381495
5.3714294,3.8750725,-1.843585
5.3714294,3.8025649,-1.5718971
5.3714294,3.6945946,-1.4499546
5.3713989,2.8224571,-1.3671468
4.028595,2.9483681,-1.0736481
4.0285645,2.0838745,-0.9129923
4.028595,1.387979,-0.88519651
2.6856689,0.71579772,-0.52533549
3.3571777,-0.16951494,-0.64025801
2.0142822,-0.70080143,-0.32872242
2.0142822,-1.403976,-0.29230464
2.0143127,-1.910933,-0.29855096
0.67141724,-2.9002392,-0.067143917
0.67141724,-3.1366813,-0.10444085
0.67141724,-3.163223,-0.082512677
0,-3.4761457,0.11603778
0.67144775,-3.3496175,0.052022953
0,-3.5864437,0.27531055
0,-3.6991937,0.33218813
0,-3.7479541,0.4396894
0,-4.0613132,0.51070464
0,-4.1012697,0.60350507
-0.67144775,-4.3324566,0.83823675
0,-4.4210916,0.79202431
0,-4.5413518,0.92334682
0,-4.5907974,1.0308888
-0.67141724,-4.6558657,1.3126115
0,-4.9308591,1.3206
0,-4.1727276,1.4023888
-0.67141724,-4.4192491,1.781994
-0.67141724,-4.5928731,1.825596
-1.3428955,-5.0517821,2.2319007
-1.3428345,-4.7563386,2.2897336
-1.342865,-5.5428858,2.5252867
-2.0142822,-4.9096298,2.6791797
-2.0142822,-5.5323672,2.8514435
-3.3571472,-5.0986762,3.2008538
-3.3571472,-5.1702127,3.4371896
-4.028595,-5.9373879,3.6992931
-4.6999512,-6.7816582,3.7669683
-5.37146,-6.8810716,4.0118432
-6.0428467,-7.5825472,4.2099609
-6.7142944,-8.3199511,4.3820133
-8.0571289,-7.7633691,4.7923045
-8.0571594,-8.2068129,4.9476404
-8.7285767,-9.4562187,5.1549282
-8.7285767,-8.9142799,5.0296979
-10.742828,-9.2462025,5.5705194
-10.742889,-8.1324816,5.5790386
-10.742844,-10.817246,5.7933211
-12.085709,-13.057533,5.7498913
-12.085709,-15.366611,5.4278455
-13.428574,-17.257919,5.2688165
-13.428589,-20.462807,4.8340683
-13.428558,-23.662365,4.0830412
-13.428574,-24.334188,3.3976221
-12.085709,-25.964516,2.8785155
-12.085709,-23.051613,2.2637808
-10.742874,-21.129095,1.8820475
-9.3999939,-18.187962,1.4483621
-8.0571442,-16.172813,1.4401332
-8.0571442,-14.184155,1.6266729
-6.7142792,-12.744042,1.5344743
